   0.45025088E-002   0.76707645E-003   0.26605790E-003   0.36176270E+000  -0.90781972E-001  -0.85714974E-001   0.61275196E+000  -0.34836537E+000  -0.19527829E+000   0.12051742E+000  -0.92583847E+000  -0.40154022E+000  -0.11018608E+000  -0.13275994E+001  -0.60588914E+000  -0.53797069E+001  -0.83048135E+000  -0.22482887E+000   0.78943906E+001   0.45964780E+001   0.15586958E+001  -0.18265402E+002  -0.11619555E+001  -0.25010607E+000  -0.16055037E+002  -0.23942192E+002  -0.94001579E+001  -0.30483315E+002  -0.87240553E+000   0.89115763E+001
   0.45021894E-002   0.77173529E-003   0.26806368E-003   0.36399209E+000  -0.68188957E-001  -0.73879738E-001   0.62241893E+000  -0.33420249E+000  -0.18952016E+000   0.13563375E+000  -0.92415936E+000  -0.40081203E+000  -0.97148380E-001  -0.13273305E+001  -0.60611937E+000  -0.53787201E+001  -0.83634704E+000  -0.22736741E+000   0.78914936E+001   0.46003795E+001   0.15604313E+001  -0.18265202E+002  -0.11653417E+001  -0.25159198E+000  -0.16052658E+002  -0.23943540E+002  -0.94007690E+001  -0.30483024E+002  -0.87523474E+000   0.89106061E+001
   0.45018278E-002   0.77690940E-003   0.27029135E-003   0.36452634E+000  -0.42718500E-001  -0.60331732E-001   0.63270963E+000  -0.31822235E+000  -0.18298415E+000   0.15239443E+000  -0.92204626E+000  -0.39989564E+000  -0.82652984E-001  -0.13269126E+001  -0.60632079E+000  -0.53776143E+001  -0.84286302E+000  -0.23018761E+000   0.78882719E+001   0.46047129E+001   0.15623592E+001  -0.18264980E+002  -0.11691041E+001  -0.25324297E+000  -0.16050015E+002  -0.23945038E+002  -0.94014479E+001  -0.30482702E+002  -0.87837831E+000   0.89095280E+001
   0.45014594E-002   0.78208106E-003   0.27251802E-003   0.36291770E+000  -0.16990360E-001  -0.46423662E-001   0.64251855E+000  -0.30199757E+000  -0.17630761E+000   0.16911346E+000  -0.91967329E+000  -0.39886657E+000  -0.68149348E-001  -0.13263690E+001  -0.60646480E+000  -0.53764987E+001  -0.84937746E+000  -0.23300739E+000   0.78850473E+001   0.46090446E+001   0.15642864E+001  -0.18264757E+002  -0.11728664E+001  -0.25489396E+000  -0.16047372E+002  -0.23946536E+002  -0.94021267E+001  -0.30482379E+002  -0.88152187E+000   0.89084499E+001
   0.45010840E-002   0.78725030E-003   0.27474370E-003   0.35907193E+000   0.88474298E-002  -0.32224812E-001   0.65183808E+000  -0.28554054E+000  -0.16949562E+000   0.18578614E+000  -0.91704115E+000  -0.39772511E+000  -0.53638828E-001  -0.13256995E+001  -0.60655124E+000  -0.53753733E+001  -0.85589035E+000  -0.23582675E+000   0.78818198E+001   0.46133746E+001   0.15662131E+001  -0.18264532E+002  -0.11766287E+001  -0.25654493E+000  -0.16044728E+002  -0.23948034E+002  -0.94028054E+001  -0.30482056E+002  -0.88466542E+000   0.89073716E+001
   0.45007018E-002   0.79241719E-003   0.27696843E-003   0.35290465E+000   0.34631085E-001  -0.17813902E-001   0.66066097E+000  -0.26886385E+000  -0.16255339E+000   0.20240776E+000  -0.91415057E+000  -0.39647158E+000  -0.39122785E-001  -0.13249039E+001  -0.60657997E+000  -0.53742381E+001  -0.86240167E+000  -0.23864567E+000   0.78785893E+001   0.46177029E+001   0.15681392E+001  -0.18264307E+002  -0.11803909E+001  -0.25819589E+000  -0.16042085E+002  -0.23949531E+002  -0.94034840E+001  -0.30481732E+002  -0.88780896E+000   0.89062933E+001
   0.45003129E-002   0.79758176E-003   0.27919222E-003   0.34434468E+000   0.60180905E-001  -0.32795235E-002   0.66898034E+000  -0.25198023E+000  -0.15548620E+000   0.21897365E+000  -0.91100239E+000  -0.39510635E+000  -0.24602592E-001  -0.13239818E+001  -0.60655083E+000  -0.53730930E+001  -0.86891142E+000  -0.24146416E+000   0.78753559E+001   0.46220294E+001   0.15700647E+001  -0.18264081E+002  -0.11841531E+001  -0.25984684E+000  -0.16039441E+002  -0.23951028E+002  -0.94041625E+001  -0.30481409E+002  -0.89095249E+000   0.89052149E+001
   0.44999172E-002   0.80274407E-003   0.28141510E-003   0.33333772E+000   0.85301616E-001   0.11279661E-001   0.67678968E+000  -0.23490260E+000  -0.14829946E+000   0.23547915E+000  -0.90759749E+000  -0.39362979E+000  -0.10079624E-001  -0.13229331E+001  -0.60646369E+000  -0.53719381E+001  -0.87541958E+000  -0.24428221E+000   0.78721195E+001   0.46263542E+001   0.15719896E+001  -0.18263855E+002  -0.11879152E+001  -0.26149778E+000  -0.16036797E+002  -0.23952524E+002  -0.94048409E+001  -0.30481085E+002  -0.89409601E+000   0.89041365E+001
   0.44995147E-002   0.80790419E-003   0.28363711E-003   0.31985052E+000   0.10978338E+000   0.25755029E-001   0.68408289E+000  -0.21764402E+000  -0.14099866E+000   0.25191960E+000  -0.90393683E+000  -0.39204233E+000   0.44447322E-002  -0.13217576E+001  -0.60631841E+000  -0.53707734E+001  -0.88192615E+000  -0.24709981E+000   0.78688803E+001   0.46306773E+001   0.15739139E+001  -0.18263627E+002  -0.11916773E+001  -0.26314870E+000  -0.16034153E+002  -0.23954021E+002  -0.94055192E+001  -0.30480760E+002  -0.89723953E+000   0.89030579E+001
   0.44991056E-002   0.81306218E-003   0.28585825E-003   0.30387522E+000   0.13340364E+000   0.40028520E-001   0.69085422E+000  -0.20021768E+000  -0.13358936E+000   0.26829039E+000  -0.90002144E+000  -0.39034441E+000   0.18969086E-001  -0.13204550E+001  -0.60611485E+000  -0.53695990E+001  -0.88843110E+000  -0.24991696E+000   0.78656380E+001   0.46349987E+001   0.15758377E+001  -0.18263398E+002  -0.11954393E+001  -0.26479961E+000  -0.16031509E+002  -0.23955517E+002  -0.94061974E+001  -0.30480436E+002  -0.90038304E+000   0.89019793E+001
